entreprise_nom,nombre_offres,codes_rome_distincts,regions_distinctes,derniere_collecte
WEMANITY PARIS,1,1,1,2026-08-31 21:32:30+02
KUBA,1,1,1,2026-08-31 21:32:30+02
GROUPE EMPRUNTIS FRANCE,1,1,1,2026-08-31 21:32:28+02
LHH,1,1,1,2026-08-31 21:32:23+02
AEROW,1,1,1,2026-08-31 21:32:23+02
HARMONIE SARL,1,1,1,2026-08-31 21:32:28+02
LARRERE ET FILS,1,1,1,2026-08-31 21:32:28+02
OUIDOU NORD,3,2,1,2026-08-31 21:32:28+02
RYDGE CONSEIL,1,1,1,2026-08-31 21:32:23+02
IGREC,1,1,1,2026-08-31 21:32:20+02
OMCONSULTING,1,1,1,2026-08-31 21:32:23+02
INIT SYS,1,1,1,2026-08-31 21:32:23+02
CONSEIL D'ETAT,2,2,1,2026-08-31 21:32:26+02
OMERIN SAS,2,1,1,2026-08-31 21:32:23+02
CONSEPT INGENIERIE,1,1,1,2026-08-31 21:32:21+02
REEV SAS,1,1,1,2026-08-14 18:45:51+02
DIGITAL SURF,1,1,1,2026-08-31 21:32:23+02
POK,6,2,1,2026-08-31 21:32:20+02
AK RECRUTEMENT,6,5,1,2026-08-31 21:32:23+02
UpYourBizz,1,1,1,2026-08-31 21:32:28+02
INVIVOO,1,1,1,2026-08-14 18:41:08+02
HOLENEK INGENIERIE,7,4,3,2026-08-31 21:32:23+02
UNI-TRANS,1,1,1,2026-08-14 18:45:51+02
CENTRE ANTOINE LACASSAGNE,1,1,1,2026-08-14 18:41:07+02
GROUPE ATLANTIC SYNERGY - Société en Nom Collectif,1,1,1,2026-08-14 18:41:07+02
FEELNFOOD,1,1,1,2026-08-14 18:41:06+02
ABOLIS BIOTECHNOLOGIES,1,1,1,2026-08-14 18:45:51+02
DATAMED RESEARCH,1,1,1,2026-08-14 18:41:07+02
SERA,2,2,1,2026-08-31 21:32:23+02
PATRICKMATHIEU SINGULARITE,1,1,1,2026-08-14 18:45:51+02
LABORATOIRES DE BIOLOGIE VEGETALE YVES R,1,1,1,2026-08-15 00:53:20+02
Sophia Conseil,1,1,1,2026-08-14 18:41:06+02
BioMed X France SARL,1,1,1,2026-08-31 21:32:23+02
KLANIK,11,5,5,2026-08-31 21:32:30+02
LUNALOGIC,4,2,1,2026-08-31 21:32:22+02
CALIXYS,1,1,1,2026-08-31 21:32:23+02
ARTEMYS,1,1,1,2026-08-14 18:45:53+02
P.B.O.,1,1,1,2026-08-14 18:45:53+02
DHL INTERNATIONAL EXPRESS (FRANCE),1,1,1,2026-08-31 21:32:22+02
LAITA SAS,1,1,1,2026-08-14 18:41:08+02
Norvelis,1,1,1,2026-08-15 00:53:20+02
S-quaar,2,1,1,2026-08-31 21:32:30+02
VOLCOM,2,1,1,2026-08-31 21:32:30+02
BNP Paribas Mission Handicap,3,1,1,2026-08-31 21:32:30+02
AXA PARTNERS HOLDING SA,1,1,1,2026-08-31 21:32:20+02
CPAM des Yvelines,1,1,1,2026-08-31 21:32:21+02
SKY HORSE,1,1,1,2026-08-31 21:32:20+02
CARSAT,2,2,1,2026-08-31 21:32:23+02
GS1 France,1,1,1,2026-08-31 21:32:24+02
Cegedim,1,1,1,2026-08-31 21:32:20+02
RAGNI,1,1,1,2026-08-31 21:32:21+02
Coopérative U,1,1,1,2026-08-31 21:32:30+02
Institut Curie,1,1,1,2026-08-31 21:32:24+02
CELSA FRANCE,1,1,1,2026-08-31 21:32:22+02
NEXT DECISION,1,1,1,2026-08-31 21:32:21+02
VITALIS CONSULTING,1,1,1,2026-08-31 21:32:20+02
WINSIDE TECHNOLOGY AURA,1,1,1,2026-08-31 21:32:21+02
IVORY TOWER,1,1,1,2026-08-31 21:32:20+02
SWING-WS,1,1,1,2026-08-14 18:45:53+02
CIRIL GROUP,2,2,1,2026-08-14 18:45:53+02
EVERIENCE,1,1,1,2026-08-31 21:32:23+02
BOUYGUES CONSTRUCTION PURCHASING,1,1,1,2026-08-14 18:41:06+02
HOPITAL CHARLES NICOLLE CHU ROUEN,1,1,1,2026-08-14 18:45:53+02
EnergieTEAM,3,1,2,2026-08-31 21:32:21+02
STEP UP,5,3,3,2026-08-31 21:32:30+02
ECOLE 18.06 ALSACE,1,1,1,2026-08-14 18:45:51+02
MONDIAL RELAY,1,1,1,2026-08-15 00:53:20+02
MJ CONSULTING,1,1,1,2026-08-15 00:53:20+02
Fyte,1,1,1,2026-08-14 18:41:06+02
WINSIDE TECHNOLOGY,1,1,1,2026-08-14 18:45:53+02
KAPA IT,2,2,2,2026-08-31 21:32:30+02
SNCF,1,1,1,2026-08-14 18:41:08+02
SOPRA STERIA INFRASTRUCTURE & SECURITY S,1,1,1,2026-08-14 18:45:53+02
LD MEDICARE,1,1,1,2026-08-14 18:41:06+02
AG2R PREVOYANCE,1,1,1,2026-08-31 21:32:21+02
BPCE,2,1,1,2026-08-31 21:32:22+02
Framatome,1,1,1,2026-08-14 18:41:08+02
U Tech,3,3,1,2026-08-15 00:53:20+02
LIMAGRAIN,1,1,1,2026-08-14 18:41:08+02
DGTL Performance,2,2,1,2026-08-31 21:32:25+02
Monoprix.,1,1,1,2026-08-14 18:41:07+02
AUBER TECH,5,2,1,2026-08-31 21:32:30+02
CTS Corporate,1,1,1,2026-08-15 00:53:20+02
APF FRANCE HANDICAP INTERIM,1,1,1,2026-08-31 21:32:30+02
DCARTE ENGINEERING SA,8,4,0,2026-08-31 21:32:22+02
TALENTS GROUPE,1,1,1,2026-08-31 21:32:21+02
CAMACTE,1,1,1,2026-08-31 21:32:21+02
ODDO BHF SCA,1,1,1,2026-08-31 21:32:30+02
CREDIT MUTUEL ASSET MANAGEMENT,1,1,1,2026-08-14 18:41:07+02
ASTRIDSEN VITA,1,1,1,2026-08-31 21:32:21+02
GROUPE ROY ENERGIE,1,1,1,2026-08-31 21:32:30+02
FONCTIONS SUPPORTS,1,1,1,2026-08-31 21:32:21+02
IFALOG CONSULTING,1,1,1,2026-08-31 21:32:20+02
SOPRA STERIA GROUP,1,1,1,2026-08-31 21:32:23+02
SYNDICAT MIXTE DES EAUX ET DE L'ASSAINIS,1,1,1,2026-08-31 21:32:21+02
Eddy,1,1,1,2026-08-31 21:32:28+02
DECATHLON,1,1,1,2026-08-31 21:32:21+02
D.D.T.M,1,1,1,2026-08-31 21:32:20+02
Keolis,2,1,1,2026-08-31 21:32:21+02
SNCF ST DENIS 2 PL AUX ETOILES,1,1,1,2026-08-31 21:32:23+02
VYV 3,1,1,1,2026-08-31 21:32:21+02
KINGFISHER INFORMATION TECHNOLOGY SERVIC,1,1,1,2026-08-31 21:32:23+02
Red Hot Talents,1,1,1,2026-08-31 21:32:30+02
LSEHL,1,1,1,2026-08-31 21:32:28+02
Maison Options,1,1,1,2026-08-31 21:32:22+02
ALTECA,6,4,5,2026-08-31 21:32:30+02
EINEA,1,1,1,2026-08-31 21:32:28+02
PB SOLUTIONS,4,3,3,2026-08-31 21:32:23+02
COGEFI FORMATION,1,1,1,2026-08-31 21:32:22+02
LES RESIDENCES SOCIETE ANONYME D'HABITAT,1,1,1,2026-08-31 21:32:21+02
LFB,1,1,1,2026-08-31 21:32:21+02
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,1,1,1,2026-08-14 18:41:07+02
ALGOSECURE,1,1,1,2026-08-31 21:32:23+02
BARAN RECRUTEMENT,1,1,1,2026-08-14 18:45:53+02
SELHA GROUP,3,1,3,2026-08-31 21:32:28+02
TESSELATE FRANCE,1,1,1,2026-08-31 21:32:30+02
G-NAV,1,1,1,2026-08-14 18:45:53+02
ACTUAL ITS,1,1,1,2026-08-14 18:45:53+02
SECTION MEDICALE,1,1,1,2026-08-14 18:41:08+02
KAISCHOOL,6,5,1,2026-08-14 18:45:54+02
UNIVERSITE DE PAU ET DES PAYS DE L'ADOUR,1,1,1,2026-08-31 21:32:21+02
ELITT,1,1,1,2026-08-14 18:45:53+02
PREVIFRANCE,1,1,1,2026-08-14 18:41:06+02
LES MAITRES LAITIERS DU COTENTIN,1,1,1,2026-08-14 18:41:06+02
SNCF VOYAGEURS,1,1,1,2026-08-14 18:45:53+02
FLIPO RICHIR,1,1,1,2026-08-31 21:32:28+02
THALES DIS FRANCE SAS,1,1,1,2026-08-31 21:32:23+02
INSTITUT NATIONAL RECHERCHE SECURITE,1,1,1,2026-08-31 21:32:22+02
MATCHMAKER RECRUTEMENT,2,2,1,2026-08-31 21:32:23+02
GHLCONSULT,1,1,1,2026-08-31 21:32:25+02
Valoway,1,1,1,2026-08-14 18:41:08+02
AKKODIS,3,3,1,2026-08-31 21:32:28+02
UCANSS,1,1,1,2026-08-14 18:41:07+02
CRIT INTERIM,1,1,1,2026-08-31 21:32:23+02
ACTUAL TALENT SERVICES,1,1,1,2026-08-31 21:32:23+02
INOV TEAM,1,1,1,2026-08-14 18:45:53+02
BNP Paribas,1,1,1,2026-08-15 00:53:20+02
K?ryo RH,1,1,1,2026-08-14 18:41:08+02
Les Colettes Sourcing,1,1,1,2026-08-14 18:41:08+02
GEOFIT,1,1,1,2026-08-31 21:32:21+02
IREX CONSULTING,1,1,1,2026-08-15 00:53:20+02
NXO OCEAN INDIEN,1,1,1,2026-08-31 21:32:23+02
SKYNOPY,1,1,1,2026-08-31 21:32:23+02
MUTUELLE INTERIALE,2,1,1,2026-08-31 21:32:30+02
MY UNISOFT,1,1,1,2026-08-31 21:32:23+02
UGIPS GESTION,1,1,1,2026-08-31 21:32:20+02
FINANCIERE DES PAIEMENTS ELECTRONIQUES,1,1,1,2026-08-31 21:32:21+02
FACILECOMM,2,1,1,2026-08-31 21:32:28+02
Yamaha Motor Manufacturing Europe,1,1,1,2026-08-31 21:32:20+02
COMPAGNIE DE SAINT-GOBAIN,1,1,1,2026-08-31 21:32:21+02
SNCF MARSEILLE 03 17 AV GENERAL LECLERC,1,1,1,2026-08-31 21:32:28+02
MS PAU,1,1,1,2026-08-31 21:32:22+02
ADEVA-TRAVAIL TEMPORAIRE,1,1,1,2026-08-31 21:32:22+02
Polyexpert France - Région Aquitaine Occitanie,1,1,1,2026-08-31 21:32:22+02
Randstad professional,3,3,3,2026-08-15 00:53:20+02
SOCOMEC,1,1,1,2026-08-31 21:32:21+02
FASTROAD TT,1,1,1,2026-08-31 21:32:21+02
CLS,2,2,1,2026-08-31 21:32:21+02
STEEL ELECTRONIQUE,1,1,1,2026-08-31 21:32:23+02
FOODCHERI,1,1,1,2026-08-31 21:32:26+02
MP BIOMEDICALS,1,1,1,2026-08-31 21:32:30+02
AMILTONE,7,5,3,2026-08-31 21:32:21+02
DETECT Recrutement,1,1,1,2026-08-31 21:32:20+02
CELIOS TECHNOLOGIES,7,4,4,2026-08-31 21:32:28+02
ALTRANS ENERGIES,1,1,1,2026-08-14 18:45:51+02
IPPON Technologies,2,2,1,2026-08-31 21:32:28+02
HAWKER,2,2,1,2026-08-31 21:32:30+02
IBM SERVICES CENTER FRANCE,2,2,2,2026-08-14 18:41:08+02
MANTLE 8,1,1,1,2026-08-31 21:32:22+02
LA JAVANESS,1,1,1,2026-08-14 18:41:06+02
CLEEVEN,2,1,1,2026-08-31 21:32:23+02
INRAE VERSAILLES-SACLAY VERSAILLES,1,1,1,2026-08-14 18:45:51+02
Centre Hospitalier Universitaire de Grenoble,1,1,1,2026-08-31 21:32:21+02
ARMONIE,1,1,1,2026-08-31 21:32:24+02
APAVE,1,1,1,2026-08-31 21:32:28+02
KEOLIS TOURS,1,1,1,2026-08-14 18:41:08+02
DATALTIST,1,1,1,2026-08-14 18:45:51+02
LUXCARTA,1,1,1,2026-08-31 21:32:22+02
NANOMADE LAB,1,1,1,2026-08-14 18:45:51+02
ECO-ADAPT,4,4,1,2026-08-31 21:32:22+02
Forums Talents Handicap,32,7,8,2026-08-31 21:32:30+02
ATMO GRAND EST,2,1,1,2026-08-14 18:41:06+02
CENTRE HOSPITALIER SAINTE ANNE,1,1,1,2026-08-14 18:41:08+02
CIGNALING,1,1,0,2026-08-14 18:45:53+02
DENTAL MONITORING,3,2,1,2026-08-31 21:32:22+02
La Banque Postale,1,1,1,2026-08-31 21:32:20+02
INSTITUT MAX VON LAUE - PAUL LANGEVIN,1,1,1,2026-08-31 21:32:22+02
LGM/,1,1,1,2026-08-31 21:32:22+02
LTd,3,2,2,2026-08-31 21:32:25+02
Tech Riders,1,1,1,2026-08-15 00:53:20+02
VIVERIS,1,1,1,2026-08-15 00:53:20+02
SULLY GROUP,1,1,1,2026-08-31 21:32:26+02
STORYZY,2,2,1,2026-08-31 21:32:23+02
ETABLISSEMENTS PAYANT,1,1,1,2026-08-31 21:32:22+02
EXPO-DISPO SOLUTIONS ENTREPRISES,1,1,1,2026-08-31 21:32:28+02
LES NOUVEAUX HERITIERS (L.N.H.),1,1,1,2026-08-31 21:32:20+02
COVEA COOPERATIONS,1,1,1,2026-08-31 21:32:21+02
ATTINEOS,1,1,1,2026-08-31 21:32:23+02
PETIT FORESTIER LOCATION,1,1,1,2026-08-31 21:32:22+02
OBJECTWARE,1,1,1,2026-08-31 21:32:28+02
CMS4P SERVICES ET TECHNOLOGIES,1,1,1,2026-08-31 21:32:23+02
LOGWIRE CONSULTING,1,1,1,2026-08-31 21:32:23+02
OPTIMA AI,1,1,0,2026-08-31 21:32:23+02
VYV3,1,1,1,2026-08-31 21:32:22+02
MANPOWER FRANCE3,1,1,1,2026-08-31 21:32:22+02
PULSA CONSEIL,1,1,1,2026-08-31 21:32:22+02
Reflet Digital,3,1,3,2026-08-31 21:32:28+02
T'HOMPOUSS CONSULTANTS,1,1,1,2026-08-31 21:32:28+02
AXYS CONSULTANTS,1,1,1,2026-08-31 21:32:25+02
Cerfrance,1,1,1,2026-08-31 21:32:21+02
HARDIS TECH SERVICES,2,2,1,2026-08-31 21:32:21+02
IT PARTNER,1,1,1,2026-08-14 18:45:51+02
FICHORGA,1,1,1,2026-08-14 18:41:08+02
932570-ST DENIS LBPFI DIRECTION OPERATIONS,1,1,1,2026-08-14 18:41:07+02
CORIOLIS TELECOM SAS,2,1,1,2026-08-14 18:45:51+02
SORBONNE UNIVERSITE,1,1,1,2026-08-14 18:41:07+02
PROSOL,2,1,1,2026-08-14 18:41:07+02
Michael Page,2,2,1,2026-08-31 21:32:20+02
Agixis,2,1,1,2026-08-31 21:32:21+02
INFINITE ORBITS,1,1,1,2026-08-14 18:45:52+02
CENTRE LEON BERARD,1,1,1,2026-08-31 21:32:21+02
SQUAD,1,1,1,2026-08-14 18:45:53+02
JEMS,5,2,2,2026-08-14 18:45:51+02
KITVIEW,1,1,1,2026-08-14 18:45:53+02
CITEOS-OMEXOM,2,1,1,2026-08-14 18:45:53+02
Opco Ep,1,1,1,2026-08-14 18:41:06+02
UNIVERSITE D'AIX MARSEILLE,1,1,1,2026-08-31 21:32:22+02
ASS PROMOTION COMMERCE SERVICE SPECIALIS,1,1,1,2026-08-14 18:41:08+02
SFR CARAIBE,2,1,1,2026-08-31 21:32:23+02
Mercato de l'emploi,4,3,3,2026-08-31 21:32:26+02
ARTIFICIAL INTELLIGENCE KNOWLEDGE & ORGA,1,1,1,2026-08-31 21:32:21+02
LHH RECRUITMENT SOLUTIONS,4,3,2,2026-08-31 21:32:30+02
BRIDGESTONE EUROPE NV/SA SUCCURSALE FRAN,1,1,1,2026-08-31 21:32:20+02
Article 1,1,1,1,2026-08-31 21:32:20+02
skaelia,1,1,1,2026-08-14 18:41:08+02
BPCE SOLUTIONS INFORMATIQUES,1,1,1,2026-08-14 18:45:53+02
FHF,1,1,1,2026-08-14 18:41:07+02
SIMPLICITI,2,1,1,2026-08-14 18:45:53+02
ENTORIA,2,1,2,2026-08-14 18:41:08+02
AIR FRANCE,3,2,1,2026-08-31 21:32:30+02
MAISON MGA,1,1,1,2026-08-31 21:32:28+02
ZONOVA,1,1,1,2026-08-31 21:32:23+02
MBD CONSULTING,1,1,1,2026-08-31 21:32:23+02
PROXIEL,1,1,1,2026-08-31 21:32:23+02
Octopus Energy France,1,1,1,2026-08-31 21:32:25+02
ADECCO FRANCE,1,1,1,2026-08-31 21:32:30+02
LAITA,1,1,1,2026-08-31 21:32:21+02
MANPOWER,1,1,1,2026-08-31 21:32:28+02
PROMAN EXPERTISE,1,1,1,2026-08-31 21:32:21+02
Oz2B,1,1,1,2026-08-31 21:32:28+02
DIRECTION INTERMINISTERIELLE DU NUMERIQU,1,1,1,2026-08-31 21:32:21+02
BERNARD TRUCKS,1,1,1,2026-08-31 21:32:22+02
PONTICELLI FRERES,1,1,1,2026-08-31 21:32:23+02
LES PETITS CHAPERONS ROUGES,1,1,1,2026-08-31 21:32:22+02
LECTRA,1,1,1,2026-08-31 21:32:21+02
JEMS DATAFACTORY,1,1,1,2026-08-31 21:32:23+02
AUBERT & DUVAL,1,1,1,2026-08-14 18:41:08+02
EY,19,1,1,2026-08-31 21:32:26+02
NEW NET 3D,51,6,9,2026-08-31 21:32:30+02
TECHNIDATA,1,1,1,2026-08-31 21:32:28+02
CIMALPES,1,1,1,2026-08-14 18:41:06+02
SYSTEMIQUE,1,1,1,2026-08-14 18:45:53+02
OCTIME,2,2,1,2026-08-14 18:45:53+02
ECOLE NATIONALE SUPERIEURE DES MINES,1,1,1,2026-08-14 18:41:08+02
NESTLE EXCELLENCE SUPPORTS FRANCE OU NES,2,2,2,2026-08-31 21:32:30+02
FMS-EA,2,1,2,2026-08-31 21:32:28+02
FRANCE FERMETURES,1,1,1,2026-08-31 21:32:28+02
INOV TEAM LABS,1,1,1,2026-08-31 21:32:28+02
REAL QUALITY RATING,1,1,1,2026-08-14 18:45:51+02
AUTOMOTIVE CELLS COMPANY SE,1,1,1,2026-08-14 18:41:08+02
SOCOMEC Group,1,1,1,2026-08-14 18:41:07+02
ALPHIKA,2,1,1,2026-08-31 21:32:21+02
BIHR,2,1,1,2026-08-31 21:32:30+02
KILOUTOU,2,2,2,2026-08-14 18:45:51+02
GROUPE HOSPITALIER BRETAGNE SUD,1,1,1,2026-08-14 18:41:07+02
MAILINBLACK,2,2,1,2026-08-31 21:32:23+02
ISCOD,12,5,4,2026-08-31 21:32:28+02
NRJ GROUP,3,2,1,2026-08-14 18:45:53+02
CDC Informatique,1,1,1,2026-08-14 18:45:52+02
Synanto,3,1,1,2026-08-31 21:32:24+02
AKTISEA,2,2,2,2026-08-31 21:32:30+02
LINXENS FRANCE,1,1,1,2026-08-14 18:41:06+02
LOAMICS,1,1,1,2026-08-14 18:45:51+02
HEXAFRET,2,1,1,2026-08-31 21:32:21+02
Fed Group,2,2,1,2026-08-31 21:32:22+02
CamAnalytics,1,1,1,2026-08-14 18:45:53+02
CGI FINANCE,1,1,1,2026-08-31 21:32:21+02
Casino Services,1,1,1,2026-08-15 00:53:20+02
Act Digital France,5,2,3,2026-08-31 21:32:30+02
VESTRALA,1,1,1,2026-08-14 18:45:51+02
CSTB,1,1,1,2026-08-31 21:32:22+02
PRESTANOVA,6,6,5,2026-08-31 21:32:30+02
NEXECUR PROTECTION,1,1,1,2026-08-14 18:41:08+02
RANDSTAD,4,3,2,2026-08-31 21:32:30+02
LES INTERIMAIRES PROFESSIONNELS TERTIAIR,3,3,1,2026-08-31 21:32:24+02
DOMINIQUE DUTSCHER S.A,2,2,1,2026-08-31 21:32:28+02
ASWO INTERNATIONAL SERVICES FRANCE,1,1,1,2026-08-31 21:32:21+02
LIFE SCIENCES EXPERTISE,1,1,1,2026-08-31 21:32:23+02
CONNECT 44 SARL,1,1,1,2026-08-31 21:32:21+02
ELIS,1,1,1,2026-08-31 21:32:20+02
ALTAMETRIS,1,1,1,2026-08-31 21:32:23+02
PORTAOPS,1,1,1,2026-08-31 21:32:23+02
DAHER,1,1,1,2026-08-31 21:32:30+02
MUTUELLE ASSURANCE INSTITUTEUR FRANCE,1,1,1,2026-08-31 21:32:30+02
LINK CONSULTING,2,2,1,2026-08-31 21:32:30+02
ACTUA,1,1,1,2026-08-31 21:32:28+02
GO TRANSPORT ET LOGISTIQUE,1,1,1,2026-08-31 21:32:20+02
SIKO FS,1,1,1,2026-08-31 21:32:23+02
LBESOFT,2,2,1,2026-08-31 21:32:23+02
INRAE CENTRE-SIEGE PARIS 07,4,3,1,2026-08-31 21:32:23+02
SCAI SYSTEMS,1,1,1,2026-08-31 21:32:22+02
INNOV AND CO HANDICAP,1,1,1,2026-08-31 21:32:23+02
LORDS IT,1,1,1,2026-08-31 21:32:28+02
CAINIAO EXPRESS,1,1,1,2026-08-31 21:32:21+02
UNIVERSITE DE VERSAILLES-SAINT-QUENTIN,1,1,1,2026-08-31 21:32:21+02
Non renseignee,301,49,15,2026-08-31 21:32:30+02
Externatic,5,5,4,2026-08-31 21:32:30+02
EFFY,2,2,1,2026-08-31 21:32:22+02
CIORANE,3,1,1,2026-08-14 18:41:08+02
SILKHOM SAS,2,1,2,2026-08-31 21:32:22+02
ATIMIC,1,1,1,2026-08-31 21:32:21+02
BRAIN LOGIC,6,5,1,2026-08-31 21:32:30+02
PREDITWINS LAB,1,1,1,2026-08-31 21:32:22+02
ASSOCIATION IMC ALTERNANCE,2,2,1,2026-08-31 21:32:20+02
SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,5,4,2,2026-08-31 21:32:30+02
EZIA,1,1,1,2026-08-31 21:32:23+02
GOMIND,2,2,1,2026-08-14 18:45:51+02
NALTA SYSTEMS,1,1,1,2026-08-14 18:45:53+02
MUREX,1,1,1,2026-08-14 18:45:53+02
CAISSE PRIMAIRE ASSURANCE MALADIE LOIRET,1,1,1,2026-08-14 18:41:06+02
BPCE SA,1,1,1,2026-08-14 18:41:06+02
PROPULSE IT,1,1,1,2026-08-14 18:41:06+02
BPARTNERS SAS,1,1,1,2026-08-14 18:41:08+02
SWOT CONSEILS RH,1,1,1,2026-08-14 18:41:08+02
HIRSCH SECURE SAS,1,1,1,2026-08-31 21:32:23+02
RAIL LOGISTICS EUROPE,1,1,1,2026-08-31 21:32:21+02
Harmonie Mutuelle,1,1,1,2026-08-14 18:41:06+02
INOVEA,1,1,1,2026-08-14 18:45:53+02
LABSOFT,2,2,1,2026-08-31 21:32:21+02
Thales Services Numériques Sas,1,1,1,2026-08-14 18:41:06+02
WANDERCRAFT,1,1,1,2026-08-31 21:32:23+02
IONIS Group,1,1,1,2026-08-31 21:32:20+02
LEA Recrutement,1,1,1,2026-08-31 21:32:28+02
RIVA-GROUP,1,1,1,2026-08-31 21:32:26+02
DN8 Solutions LTD,2,1,1,2026-08-31 21:32:25+02
BAXTER S.A.S,1,1,1,2026-08-31 21:32:30+02
PREREQUIS,1,1,1,2026-08-31 21:32:24+02
ELVATUS,4,3,2,2026-08-31 21:32:22+02
WORLDLINE,1,1,1,2026-08-31 21:32:23+02
PRONETT,1,1,1,2026-08-14 18:45:51+02
WAVESTONE,1,1,1,2026-08-31 21:32:22+02
SVELTAVIA,2,2,0,2026-08-31 21:32:28+02
O2MAX,1,1,1,2026-08-31 21:32:30+02
NEO SOFT SERVICES,1,1,1,2026-08-31 21:32:20+02
E-KENT,3,2,1,2026-08-31 21:32:28+02
THOM,1,1,1,2026-08-31 21:32:30+02
THALES LAS FRANCE SAS,1,1,1,2026-08-31 21:32:21+02
CARSAT Hauts de France,1,1,1,2026-08-31 21:32:30+02
Construire Le Figaro,1,1,1,2026-08-31 21:32:24+02
ARCESI HDF,1,1,1,2026-08-31 21:32:21+02
AIRBUS,1,1,1,2026-08-31 21:32:30+02
